,title,published_date,viewCount,likeCount,commentCount,Month
52,"('AR Missile | TTP | Pakistani Drone Attack Failure | Coast Guard Batch | Tehrik-e-Taliban Pakistan',)",2022-01-03 09:58:33+00:00,5408144,362455,11466.0,Jan
53,"('Black Box of Airplane & Helicopter | CDS Bipin Rawat | National Defense Academy | NDA & CDS Batch',)",2021-12-16 16:23:28+00:00,9385673,447220,11281.0,Dec
54,"('CDS Vipin Rawat | Mi-17 Helicopter Crash | Mi-17 V5 Helicopter | Railway NTPC and Group D Exam',)",2021-12-09 07:20:12+00:00,16355160,736351,19331.0,Dec
55,"('#JusticeForRailwayStudents',)",2021-11-30 16:34:55+00:00,2641217,237661,9119.0,Nov
56,"('Repeal of Farm Bill | Session of Parliament |',)",2021-11-23 06:01:58+00:00,4088241,266629,10099.0,Nov
57,"('S400 Missile System |',)",2021-11-20 05:38:05+00:00,5036495,286790,12511.0,Nov
58,"('UNFCCC | COP 26 | NSG | Rio Summit 1992 | Carbon Net Zero 2050 | Carbon Sink',)",2021-11-05 10:54:15+00:00,4668538,275570,8923.0,Nov
59,"('China Loss in Diwali | North Korea Food Crises',)",2021-11-02 14:05:02+00:00,7895731,451435,13749.0,Nov
60,"('FATF | Gray List | Pakistan and Turkey | SSC GD New Batch',)",2021-10-29 15:31:31+00:00,3644341,275460,14042.0,Oct
61,"('Dassault Mirage 2000 | #railway_groupd_examdate | JF17',)",2021-09-26 19:03:58+00:00,5176824,285290,12404.0,Sep
62,"('PF Account | PPE , EPF and NPS | GPF and VPF | Provident Fund | Gratuity | Types of PF Account |',)",2021-09-16 09:35:46+00:00,10581460,368698,17103.0,Sep
63,"('Airbus C-295 | TATA Aircraft | Transport Aircraft | Turbo Prop Engine | AN-32 | Khan Sir New Video',)",2021-09-13 18:14:13+00:00,5482007,276846,10935.0,Sep
64,"('Teacher`s Day | khan sir |',)",2021-09-05 17:14:49+00:00,3848273,363605,36001.0,Sep
